,YEAR_MONTH,TAVG,TMAX,TMIN,temp_celsius,month,ref_temp,diff
233,198704,36.733333333333334,46.13333333333333,27.966666666666665,2.6296296296296293,4.0,3.5094441083551793,-0.87981447872555
234,198804,34.96666666666667,42.266666666666666,28.4,1.6481481481481481,4.0,3.5094441083551793,-1.8612959602070311
235,198904,41.93333333333333,50.03333333333333,34.666666666666664,5.518518518518518,4.0,3.5094441083551793,2.009074410163339
236,199004,43.166666666666664,53.6,32.733333333333334,6.203703703703704,4.0,3.5094441083551793,2.694259595348525
237,199104,38.63333333333333,47.3,30.666666666666668,3.685185185185185,4.0,3.5094441083551793,0.17574107683000584
238,199204,35.6,41.46666666666667,30.866666666666667,2.0,4.0,3.5094441083551793,-1.5094441083551793
239,199304,38.7,48.03333333333333,30.0,3.722222222222222,4.0,3.5094441083551793,0.2127781138670426
240,199404,41.36666666666667,49.56666666666667,34.2,5.203703703703704,4.0,3.5094441083551793,1.6942595953485249
241,199504,38.1,45.7,30.866666666666667,3.3888888888888884,4.0,3.5094441083551793,-0.12055521946629089
242,199604,37.86666666666667,46.86666666666667,29.3,3.259259259259259,4.0,3.5094441083551793,-0.2501848490959202
243,199704,35.63333333333333,43.233333333333334,28.133333333333333,2.0185185185185186,4.0,3.5094441083551793,-1.4909255898366607
244,199804,37.3,45.96666666666667,28.933333333333334,2.944444444444444,4.0,3.5094441083551793,-0.5649996639107351
245,199904,42.63333333333333,50.13333333333333,35.9,5.907407407407407,4.0,3.5094441083551793,2.397963299052228
246,200004,43.56666666666667,52.56666666666667,35.833333333333336,6.425925925925926,4.0,3.5094441083551793,2.9164818175707463
247,200104,41.9,50.36666666666667,35.36666666666667,5.5,4.0,3.5094441083551793,1.9905558916448207
248,200204,42.43333333333333,52.53333333333333,32.36666666666667,5.796296296296296,4.0,3.5094441083551793,2.2868521879411166
249,200304,36.5,44.46666666666667,29.333333333333332,2.5,4.0,3.5094441083551793,-1.0094441083551793
250,200404,39.96666666666667,50.93333333333333,30.033333333333335,4.425925925925926,4.0,3.5094441083551793,0.9164818175707463
251,200504,39.833333333333336,49.13333333333333,31.733333333333334,4.351851851851851,4.0,3.5094441083551793,0.8424077434966719
252,200604,38.86666666666667,46.03333333333333,32.06666666666667,3.814814814814815,4.0,3.5094441083551793,0.3053707064596356
253,200704,41.333333333333336,51.56666666666667,33.0,5.185185185185185,4.0,3.5094441083551793,1.6757410768300058
254,200804,43.233333333333334,51.93333333333333,35.13333333333333,6.240740740740741,4.0,3.5094441083551793,2.731296632385562
